연월일,구분,공급량
2013-01-01,A,2505.222333333333
2013-01-01,B,2176.7696666666666
2013-01-01,C,222.2446666666667
2013-01-01,D,1481.2493333333332
2013-01-01,E,3311.152
2013-01-01,G,3446.2076666666667
2013-01-01,H,568.4856666666667
2013-01-02,A,3093.1803333333337
2013-01-02,B,2613.243
2013-01-02,C,255.678
2013-01-02,D,1698.1626666666668
2013-01-02,E,3813.3403333333335
2013-01-02,G,4223.081666666667
2013-01-02,H,659.9336666666667
2013-01-03,A,3303.6
2013-01-03,B,2796.779666666667
2013-01-03,C,275.178
2013-01-03,D,1822.3726666666669
2013-01-03,E,4091.2683333333334
2013-01-03,G,4921.321333333333
2013-01-03,H,711.7293333333333
2013-01-04,A,3274.7303333333334
2013-01-04,B,2722.363
2013-01-04,C,268.54466666666667
2013-01-04,D,1799.326
2013-01-04,E,3989.2623333333336
2013-01-04,G,4864.783
2013-01-04,H,690.793
2013-01-05,A,2902.3889999999997
2013-01-05,B,2473.6463333333336
2013-01-05,C,248.71133333333333
2013-01-05,D,1718.1293333333333
2013-01-05,E,3704.695333333333
2013-01-05,G,4320.673
2013-01-05,H,633.3806666666667
2013-01-06,A,2690.4206666666664
2013-01-06,B,2311.9696666666664
2013-01-06,C,239.41133333333332
2013-01-06,D,1618.2826666666667
2013-01-06,E,3520.1746666666663
2013-01-06,G,3822.318333333333
2013-01-06,H,591.5303333333333
2013-01-07,A,2887.7306666666664
2013-01-07,B,2415.8863333333334
2013-01-07,C,244.64466666666667
2013-01-07,D,1625.6393333333333
2013-01-07,E,3556.3796666666663
2013-01-07,G,4146.390333333334
2013-01-07,H,602.6473333333333
2013-01-08,A,2805.9266666666667
2013-01-08,B,2335.5896666666667
2013-01-08,C,240.64466666666667
2013-01-08,D,1595.066
2013-01-08,E,3446.947666666667
2013-01-08,G,4113.257666666666
2013-01-08,H,591.9503333333333
2013-01-09,A,2971.7766666666666
2013-01-09,B,2470.6696666666667
2013-01-09,C,251.97799999999998
2013-01-09,D,1663.1293333333333
2013-01-09,E,3657.2523333333334
2013-01-09,G,4305.345333333334
2013-01-09,H,634.4193333333334
2013-01-10,A,3002.8013333333333
2013-01-10,B,2500.4396666666667
2013-01-10,C,253.41133333333335
2013-01-10,D,1665.5393333333334
2013-01-10,E,3683.5353333333333
2013-01-10,G,4457.455333333333
2013-01-10,H,639.5
2013-01-11,A,2786.241666666667
2013-01-11,B,2304.6096666666667
2013-01-11,C,238.21133333333333
2013-01-11,D,1544.646
2013-01-11,E,3382.2396666666664
2013-01-11,G,4095.6956666666665
2013-01-11,H,590.206
2013-01-12,A,2405.86
2013-01-12,B,2005.149666666667
2013-01-12,C,215.64466666666667
2013-01-12,D,1398.2060000000001
2013-01-12,E,3030.5573333333336
2013-01-12,G,3608.7793333333334
2013-01-12,H,527.6346666666667
2013-01-13,A,2269.7966666666666
2013-01-13,B,1909.683
2013-01-13,C,211.91133333333335
2013-01-13,D,1355.9660000000001
2013-01-13,E,2943.6846666666665
2013-01-13,G,3301.2780000000002
2013-01-13,H,504.83233333333334
2013-01-14,A,2549.2116666666666
2013-01-14,B,2082.743
2013-01-14,C,223.678
2013-01-14,D,1411.7826666666667
2013-01-14,E,3095.1936666666666
2013-01-14,G,3759.0813333333335
2013-01-14,H,537.3126666666666
2013-01-15,A,2561.371
2013-01-15,B,2092.3096666666665
2013-01-15,C,227.44466666666665
2013-01-15,D,1418.5593333333334
2013-01-15,E,3125.5076666666664
2013-01-15,G,3804.7523333333334
2013-01-15,H,537.3713333333334
2013-01-16,A,2560.1316666666667
2013-01-16,B,2092.5763333333334
2013-01-16,C,227.87800000000001
2013-01-16,D,1425.4759999999999
2013-01-16,E,3140.6536666666666
2013-01-16,G,3848.083
2013-01-16,H,543.9206666666666
2013-01-17,A,2658.412333333333
2013-01-17,B,2223.0596666666665
2013-01-17,C,239.01133333333334
