연월일,시간,공급량
2013-01-01,1,13723.082
2013-01-01,2,12919.01
2013-01-01,3,12174.49
2013-01-01,4,12146.658000000001
2013-01-01,5,12667.666
2013-01-01,6,12656.674
2013-01-01,7,12820.946
2013-01-01,8,13722.242
2013-01-01,9,15027.618
2013-01-01,10,15665.922
2013-01-01,11,15761.498
2013-01-01,12,14532.586
2013-01-01,13,13150.738
2013-01-01,14,12269.45
2013-01-01,15,11753.282
2013-01-01,16,11642.426
2013-01-01,17,12346.466
2013-01-01,18,14142.386
2013-01-01,19,15871.61
2013-01-01,20,15711.25
2013-01-01,21,15326.826
2013-01-01,22,15049.346
2013-01-01,23,14283.362
2013-01-01,24,13706.418
2013-01-02,1,12717.138
2013-01-02,2,11691.338
2013-01-02,3,11252.106
2013-01-02,4,11903.578
2013-01-02,5,13190.842
2013-01-02,6,14375.634
2013-01-02,7,16312.21
2013-01-02,8,18824.586
2013-01-02,9,19287.066
2013-01-02,10,18475.345999999998
2013-01-02,11,17960.754
2013-01-02,12,16816.498
2013-01-02,13,15790.786
2013-01-02,14,15477.754
2013-01-02,15,14863.546
2013-01-02,16,14889.234
2013-01-02,17,15664.802
2013-01-02,18,17510.882
2013-01-02,19,19398.466
2013-01-02,20,19869.026
2013-01-02,21,19746.618
2013-01-02,22,19558.386
2013-01-02,23,18950.466
2013-01-02,24,18031.809999999998
2013-01-03,1,16434.49
2013-01-03,2,14884.122000000001
2013-01-03,3,14134.938
2013-01-03,4,14661.178
2013-01-03,5,15790.37
2013-01-03,6,16805.345999999998
2013-01-03,7,18542.73
2013-01-03,8,20970.554
2013-01-03,9,21386.666
2013-01-03,10,20222.034
2013-01-03,11,19592.626
2013-01-03,12,18131.914
2013-01-03,13,16783.274
2013-01-03,14,16275.001999999999
2013-01-03,15,15623.178
2013-01-03,16,15469.738000000001
2013-01-03,17,16435.25
2013-01-03,18,18314.058
2013-01-03,19,20062.442
2013-01-03,20,20525.178
2013-01-03,21,20562.618000000002
2013-01-03,22,20309.058
2013-01-03,23,19623.93
2013-01-03,24,18593.29
2013-01-04,1,16884.074
2013-01-04,2,15194.746000000001
2013-01-04,3,14323.938
2013-01-04,4,14776.722
2013-01-04,5,15917.689999999999
2013-01-04,6,16928.826
2013-01-04,7,18657.914
2013-01-04,8,21057.426
2013-01-04,9,21390.722
2013-01-04,10,20280.554
2013-01-04,11,19485.658
2013-01-04,12,17861.594
2013-01-04,13,16425.201999999997
2013-01-04,14,15808.978000000001
2013-01-04,15,15108.17
2013-01-04,16,15026.137999999999
2013-01-04,17,15815.482
2013-01-04,18,17545.274
2013-01-04,19,19316.034
2013-01-04,20,19714.602
2013-01-04,21,19579.37
2013-01-04,22,19178.714
2013-01-04,23,18637.146
2013-01-04,24,17720.282
2013-01-05,1,16294.914
