연월일,시간,공급량
2013-01-01,1,1960.4402857142857
2013-01-01,2,1845.5728571428572
2013-01-01,3,1739.212857142857
2013-01-01,4,1735.2368571428574
2013-01-01,5,1809.6665714285714
2013-01-01,6,1808.0962857142858
2013-01-01,7,1831.5637142857142
2013-01-01,8,1960.3202857142858
2013-01-01,9,2146.8025714285714
2013-01-01,10,2237.9888571428573
2013-01-01,11,2251.6425714285715
2013-01-01,12,2076.083714285714
2013-01-01,13,1878.676857142857
2013-01-01,14,1752.7785714285715
2013-01-01,15,1679.0402857142856
2013-01-01,16,1663.203714285714
2013-01-01,17,1763.7808571428573
2013-01-01,18,2020.3408571428572
2013-01-01,19,2267.3728571428574
2013-01-01,20,2244.464285714286
2013-01-01,21,2189.5465714285715
2013-01-01,22,2149.906571428571
2013-01-01,23,2040.4802857142856
2013-01-01,24,1958.0597142857143
2013-01-02,1,1816.7340000000002
2013-01-02,2,1670.1911428571427
2013-01-02,3,1607.4437142857143
2013-01-02,4,1700.5111428571429
2013-01-02,5,1884.4060000000002
2013-01-02,6,2053.662
2013-01-02,7,2330.315714285714
2013-01-02,8,2689.2265714285713
2013-01-02,9,2755.2951428571428
2013-01-02,10,2639.3351428571427
2013-01-02,11,2565.822
2013-01-02,12,2402.3568571428573
2013-01-02,13,2255.8265714285712
2013-01-02,14,2211.1077142857143
2013-01-02,15,2123.363714285714
2013-01-02,16,2127.0334285714284
2013-01-02,17,2237.828857142857
2013-01-02,18,2501.5545714285718
2013-01-02,19,2771.209428571429
2013-01-02,20,2838.432285714286
2013-01-02,21,2820.9454285714282
2013-01-02,22,2794.0551428571425
2013-01-02,23,2707.209428571429
2013-01-02,24,2575.972857142857
2013-01-03,1,2347.784285714286
2013-01-03,2,2126.303142857143
2013-01-03,3,2019.2768571428571
2013-01-03,4,2094.454
2013-01-03,5,2255.767142857143
2013-01-03,6,2400.763714285714
2013-01-03,7,2648.9614285714283
2013-01-03,8,2995.7934285714286
2013-01-03,9,3055.2380000000003
2013-01-03,10,2888.862
2013-01-03,11,2798.9465714285716
2013-01-03,12,2590.2734285714287
2013-01-03,13,2397.610571428572
2013-01-03,14,2325.0002857142854
2013-01-03,15,2231.8825714285713
2013-01-03,16,2209.9625714285717
2013-01-03,17,2347.8928571428573
2013-01-03,18,2616.2940000000003
2013-01-03,19,2866.063142857143
2013-01-03,20,2932.1682857142855
2013-01-03,21,2937.5168571428576
2013-01-03,22,2901.2940000000003
2013-01-03,23,2803.4185714285713
2013-01-03,24,2656.184285714286
2013-01-04,1,2412.0105714285714
2013-01-04,2,2170.6780000000003
2013-01-04,3,2046.2768571428571
2013-01-04,4,2110.960285714286
2013-01-04,5,2273.9557142857143
2013-01-04,6,2418.4037142857146
2013-01-04,7,2665.416285714286
2013-01-04,8,3008.2037142857143
2013-01-04,9,3055.817428571429
2013-01-04,10,2897.222
2013-01-04,11,2783.6654285714285
2013-01-04,12,2551.656285714286
2013-01-04,13,2346.4574285714284
2013-01-04,14,2258.4254285714287
2013-01-04,15,2158.31
2013-01-04,16,2146.5911428571426
2013-01-04,17,2259.3545714285715
2013-01-04,18,2506.4677142857145
2013-01-04,19,2759.4334285714285
2013-01-04,20,2816.371714285714
2013-01-04,21,2797.052857142857
2013-01-04,22,2739.8162857142856
2013-01-04,23,2662.4494285714286
2013-01-04,24,2531.468857142857
2013-01-05,1,2327.844857142857
2013-01-05,2,2097.007142857143
2013-01-05,3,1975.8265714285715
2013-01-05,4,2022.0231428571428
2013-01-05,5,2152.1785714285716
2013-01-05,6,2229.503142857143
2013-01-05,7,2320.620857142857
2013-01-05,8,2545.8597142857143
2013-01-05,9,2737.1340000000005
2013-01-05,10,2745.2997142857143
2013-01-05,11,2645.87
2013-01-05,12,2413.652857142857
2013-01-05,13,2181.940857142857
2013-01-05,14,2042.447142857143
2013-01-05,15,1942.2997142857143
2013-01-05,16,1938.4288571428572
2013-01-05,17,2058.171714285714
2013-01-05,18,2292.6905714285717
